phoneme,stress,word,time,duration,nextSeg,F1,F2,F3,F4,speaker,lesson
f,0,cafà,36.62421697,0.08382385269,a,1106.16203,2129.253528,3162.684272,3919.125382,LL,2
a,1,cafà,36.74569052,0.1591232458,NA,799.8217791,1368.629526,2265.088456,3642.261792,LL,2
a,0,am,37.61889092,0.05114675758,m,634.9277686,1339.50009,2349.675405,3573.136108,LL,2
m,0,am,37.70129403,0.1136594613,p,255.9620001,1151.232681,2271.362682,2963.984059,LL,2
p,0,pièS,37.80429792,0.09234831229,i,244.446043,1389.958368,2298.431788,3298.567107,LL,2
i,0,pièS,37.88860509,0.07626602568,ɛ:,346.2266077,2128.739277,2594.666475,3721.646461,LL,2
ɛː,1,pièS,38.02050716,0.1875381111,s,542.8431923,1909.412411,2509.480806,3839.755397,LL,2
s,0,pièS,38.15334665,0.07814087963,l,1521.017616,2339.283749,3390.64513,3969.324209,LL,2
l,0,la,38.20165192,0.01846966246,a,259.0977955,2018.978426,2770.313073,3354.426334,LL,2
a,0,la,38.25066757,0.0795616229,p,485.5467271,1218.968357,2443.730677,3673.14294,LL,2
p,0,Piâza,38.33946402,0.09803128535,i,517.2150607,1219.000146,2492.523753,3900.422559,LL,2
